Sample	Cohort	Fragment Name	Intensity	Metabolite Name
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 197/116	1728	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 146/41	17176	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 147/41	2327.6	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 147/42	1855.4	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 148/41	1117	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 148/42	1372	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 148/43	1411	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 149/41	1365	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 149/42	1341	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 149/43	1962	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 150/42	1045	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 150/43	1321	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Glutamate 151/43	1035	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 191/111	3451175.528	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 192/111	52701.6	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 192/112	217121.8	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 193/112	2319.2	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 193/113	28539.8	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 194/113	1018	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 194/114	4062.2	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 195/114	1418	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 195/115	1623	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 196/115	1256	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 196/116	1768	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Citrate 197/116	1451	Citrate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 146/41	12125	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 147/41	1976	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 147/42	1542.6	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 148/41	1194	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 148/42	1736	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 148/43	1880	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 149/41	1622	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 149/42	1017	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 149/43	1722.6	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 150/42	1003	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 150/43	2055.6	Glutamate
Experimental Sample (S128)	J.  G9 13C-Gln BCH 5min	Glutamate 151/43	2007.6	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 191/111	3174453.744	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 192/111	50851.2	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 192/112	211925.2	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 193/112	15438.6	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 193/113	33352	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 194/113	2587.8	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 194/114	1430.4	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 195/114	1979.8	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 195/115	2534.8	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 196/115	1818	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 196/116	1397	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Citrate 197/116	1534	Citrate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 146/41	13534.4	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 147/41	1680.6	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 147/42	1304.2	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 148/41	2886.6	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 148/42	1515.8	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 148/43	1891.2	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 149/41	1551	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 149/42	1105	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 149/43	1197	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 150/42	1994.6	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 150/43	1891	Glutamate
Experimental Sample (S129)	K.  G9 13C-Gln BCH 15min	Glutamate 151/43	1611	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 191/111	2130345.612	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 192/111	108579.4	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 192/112	351048.2	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 193/112	59425.6	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 193/113	85293	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 194/113	4919.4	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 194/114	7021.6	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 195/114	1096	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 195/115	1725	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 196/115	1783	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 196/116	1124	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Citrate 197/116	1703	Citrate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 146/41	10873.8	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 147/41	2389.6	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 147/42	1888.2	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 148/41	5218.8	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 148/42	1252.2	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 148/43	1650	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 149/41	1145	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 149/42	1465	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 149/43	1126	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 150/42	1651	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 150/43	2062.414504	Glutamate
Experimental Sample (S130)	L.  G9 13C-Gln BCH 30min	Glutamate 151/43	1990	Glutamate
Experimental Sample (S131)	M.  G9 13C-Gln BCH 60min	Citrate 191/111	1634394	Citrate
